Season,Date,Location,Opponent,Result,IlliniScore,OpponentScore,Note1,Note2,Note3,WinStreak
1999,20-Nov,vs.,Northwestern,W,29,7,,,,1
1999,30-Dec,vs.,Virginia,W,63,21,@ Miami, FL,Micron PC Bowl,0
1998,5-Sep,@,Washington State,L,13,20,,,,0
1998,12-Sep,vs.,Middle Tennessee State,W,48,20,,,,0
1998,19-Sep,vs.,Louisville,L,9,35,,,,0
1998,26-Sep,vs.,Iowa,L,14,37,,,,0
1998,3-Oct,@,Northwestern,W,13,10,,,,0
1998,10-Oct,vs.,Ohio State,L,0,41,,,,0
1998,17-Oct,vs.,Wisconsin,L,3,37,,,,0
1998,24-Oct,@,Purdue,L,9,42,,,,0
1998,31-Oct,@,Penn State,L,0,27,,,,0
1998,7-Nov,vs.,Indiana,W,31,16,,,,0
1998,21-Nov,@,Michigan State,L,9,41,,,,0
1997,6-Sep,vs.,Southern Mississippi,L,7,24,,,,0
1997,13-Sep,@,Louisville,L,14,26,,,,0
1997,20-Sep,vs.,Washington State,L,22,35,,,,0
1997,27-Sep,@,Iowa,L,10,38,,,,0
1997,4-Oct,vs.,Penn State,L,6,41,,,,0
1997,11-Oct,@,Wisconsin,L,7,31,,,,0
1997,25-Oct,vs.,Purdue,L,3,48,,,,0
1997,1-Nov,@,Indiana,L,6,23,,,,2
1997,8-Nov,vs.,Northwestern,L,21,34,,,,0
1997,15-Nov,@,Ohio State,L,6,41,,,,0
1997,22-Nov,vs.,Michigan State,L,17,27,,,,0
1996,31-Aug,@,Michigan,L,8,20,,,,0
1996,7-Sep,vs.,Southern California,L,3,55,,,,0
1996,14-Sep,@,Arizona,L,0,41,,,,1
1996,21-Sep,vs.,Akron,W,38,7,,,,0
1996,5-Oct,vs.,Indiana,W,46,43,,,,1
1996,12-Oct,@,Michigan State,L,14,42,,,,0
1996,26-Oct,@,Northwestern,L,24,27,,,,0
1996,2-Nov,vs.,Iowa,L,21,31,,,,3
1996,9-Nov,vs.,Ohio State,L,0,48,,,,0
1996,16-Nov,@,Minnesota,L,21,23,,,,3
1996,23-Nov,vs.,Wisconsin,L,15,35,,,,0
1995,2-Sep,vs.,Michigan,L,14,38,,,,0
1995,9-Sep,@,Oregon,L,31,34,,,,0
1995,16-Sep,vs.,Arizona,W,9,7,,,,0
1995,23-Sep,vs.,East Carolina,W,7,0,,,,1
1995,7-Oct,@,Indiana,W,17,10,,,,0
1995,14-Oct,vs.,Michigan State,L,21,27,,,,0
1995,28-Oct,vs.,Northwestern,L,14,17,,,,2
1995,4-Nov,@,Iowa,W,26,7,,,,2
1995,11-Nov,@,Ohio State,L,3,41,,,,1
1995,18-Nov,vs.,Minnesota,W,48,14,,,,2
1995,25-Nov,@,Wisconsin,T,3,3,,,,0
1994,1-Sep,vs.,Washington State,L,9,10,@ Chicago, IL,,0
1994,10-Sep,vs.,Missouri,W,42,0,,,,0
1994,17-Sep,vs.,Northern Illinois,W,34,10,,,,0
1994,1-Oct,vs.,Purdue,L,16,22,,,,6
1994,8-Oct,@,Ohio State,W,24,10,,,,0
1994,15-Oct,vs.,Iowa,W,47,7,,,,1
1994,22-Oct,vs.,Michigan,L,14,19,,,,1
1994,29-Oct,@,Northwestern,W,28,7,,,,1
1994,5-Nov,@,Minnesota,W,21,17,,,,1
1994,12-Nov,vs.,Penn State,L,31,35,,,,0
1994,19-Nov,@,Wisconsin,L,13,19,,,,0
1994,31-Dec,vs.,East Carolina,W,30,0,@ Memphis, TN,Liberty Bowl,0
1993,11-Sep,@,Missouri,L,3,31,,,,1
1993,18-Sep,vs.,Arizona,L,14,16,,,,0
1993,25-Sep,vs.,Oregon,L,7,13,,,,0
1993,2-Oct,@,Purdue,W,28,10,,,,5
1993,9-Oct,vs.,Ohio State,L,12,20,,,,5
1993,16-Oct,@,Iowa,W,49,3,,,,0
